,0,1,2,3,4,5,Label
0,9.035519,9.009001,7.2757096,3.8262334,2.7869298,4.472508,Walking
1,10.157098,8.44919,7.0355473,4.1037564,2.8455105,4.7033806,Laying
2,10.33454,8.843822,7.1608486,4.3144,3.0669568,4.6510143,Laying
3,10.1696205,8.586885,6.7598147,4.218082,2.98209,4.4977393,Laying
4,10.567492,8.713029,6.917116,4.599637,3.1332994,4.5564704,Laying
5,10.848959,8.618648,7.041005,4.824315,3.3339026,4.4640393,Laying
6,10.032379,9.095058,6.8787575,4.3826933,3.1802552,4.3392277,Laying
7,9.83385,8.47861,7.006175,4.0464616,2.6906512,4.7069144,Laying
8,10.140308,9.1266,7.0985723,4.3701444,3.0690672,4.594979,Laying
9,9.736817,9.038658,6.604381,4.4039946,3.653158,3.571946,Laying
10,9.663096,9.01913,6.5477314,4.3931346,3.529284,3.6663914,Walking
11,10.947176,8.256344,7.0568967,4.630076,3.4710474,4.311422,Laying
12,10.760647,8.508688,7.1856723,4.2349114,3.303901,4.5483527,Laying
13,10.600905,9.000311,7.060364,4.3657527,3.8959763,3.8899393,Laying
14,8.686968,9.431266,7.337906,4.232689,2.649391,4.5157113,Walking
15,8.926937,9.519057,7.3666472,4.351103,2.8082774,4.4444385,Walking
16,10.172511,7.8927736,7.1152425,4.491252,2.8074973,4.5588512,Laying
17,10.577314,9.129124,7.11481,5.081522,3.863566,3.8438606,Laying
18,9.787549,9.070087,6.7690916,4.151263,3.7451975,3.6068406,Laying
19,10.937067,8.83774,7.228904,5.036751,3.6262944,4.2633243,Laying
20,10.551542,9.043718,7.057898,4.3607736,3.9577472,3.8114269,Laying
21,10.706823,9.278694,7.2291236,4.5886197,3.6210322,4.32564,Laying
22,10.744627,9.185477,7.2405376,4.6319695,3.557147,4.386716,Laying
23,10.698526,8.807824,7.0488744,4.406519,3.4998467,4.311413,Laying
24,10.690065,9.2551565,7.2378774,4.5950665,3.5366936,4.404516,Laying
25,10.711084,9.287575,7.2482204,4.672549,3.5959964,4.351721,Laying
26,10.8163595,8.718256,7.006613,4.5133533,3.905533,3.8886416,Laying
27,8.498705,8.216025,7.3667283,3.8328044,2.0865664,4.7820687,Walking
28,8.813889,8.23736,7.4269247,3.828329,2.237253,4.7909946,Walking
29,8.843523,8.232153,7.422328,3.8147037,2.262738,4.7786074,Walking
30,7.9225264,8.456004,6.898056,4.1810083,2.4874375,3.9846601,Walking
31,8.137668,8.41197,7.064821,4.1944184,2.3045504,4.309732,Walking
32,8.489298,8.196694,7.361074,3.8261955,2.0911977,4.770549,Walking
33,8.52968,8.196492,7.3265834,3.725372,2.1908097,4.688941,Walking
34,8.796124,8.222639,7.3884273,3.7868474,2.2518709,4.75958,Walking
35,9.607468,8.127592,7.149535,3.7448614,2.7445853,4.5407453,Walking
36,11.167776,8.221372,7.161976,4.649263,3.5554037,4.3564906,Laying
37,10.770801,7.7481823,6.903153,4.290961,3.2928843,4.2955384,Laying
38,8.989641,8.196737,7.5800138,4.770068,2.1896825,4.800439,Walking
39,9.045288,8.1527815,7.56031,4.815095,2.1905491,4.8115044,Walking
40,10.656818,8.093347,7.242824,5.006454,3.0855343,4.5317492,Laying
41,10.981761,8.096883,7.2314124,4.7139883,3.2006621,4.6273217,Laying
42,10.919682,8.1303835,7.2704163,4.627608,3.1493688,4.6802745,Laying
43,10.706596,8.106719,7.266511,4.5053144,3.0116203,4.723977,Laying
44,10.518747,8.019531,7.222059,4.4355664,2.8535511,4.7725124,Laying
45,11.125803,8.285181,7.2494383,4.5508847,3.4896872,4.458056,Laying
46,10.888868,8.39078,7.24767,4.312206,3.2900484,4.615657,Laying
47,10.850745,7.963542,7.166401,4.583777,3.1646295,4.5560484,Laying
48,10.147966,8.348954,7.1659684,3.7840395,3.068694,4.5174847,Laying
49,10.105971,8.331801,7.158995,3.7696955,3.0535202,4.506912,Laying
50,10.346361,8.137793,7.1338606,4.1762204,2.809172,4.7702136,Laying
51,9.8271055,3.7473173,6.4034624,3.094083,2.7682257,3.5367444,Downstairs
52,10.515302,3.935877,6.6744885,3.29002,2.6544197,4.1474466,Downstairs
53,11.129685,3.744959,6.729413,3.6060252,2.9579997,4.1251855,Downstairs
54,11.648742,4.387663,6.771537,3.774063,3.2492857,4.2488203,Downstairs
55,11.309059,4.330471,6.547078,3.508116,3.4957404,3.7398133,Downstairs
56,11.348815,4.218452,6.536151,3.541215,3.5723069,3.6492414,Downstairs
57,11.744773,4.401702,6.75438,3.8542867,3.3472762,4.1864243,Downstairs
58,11.553653,4.555365,6.685245,3.7006834,3.344945,4.1113095,Downstairs
59,11.544831,4.561671,6.695149,3.6969206,3.3171408,4.1409345,Downstairs
60,11.5485115,4.5697746,6.6830826,3.7054665,3.3549402,4.0992217,Downstairs
61,11.345483,4.6333084,6.6031837,3.582249,3.3465047,3.9702985,Downstairs
62,11.484579,4.5413465,6.6907415,3.65097,3.281108,4.1423516,Downstairs
63,11.5801735,4.487081,6.70579,3.700178,3.315198,4.152405,Downstairs
64,9.678987,4.1168575,6.580964,2.9149826,2.3513334,4.0321026,Downstairs
65,9.8144655,4.0880857,6.57373,2.9718676,2.4204485,4.0381303,Downstairs
66,9.816913,3.6471624,6.3567486,3.2135704,2.7972667,3.4598053,Downstairs
67,9.82991,3.6520534,6.359539,3.208349,2.7997625,3.465095,Downstairs
68,9.832052,3.6323972,6.3914127,3.1402733,2.777483,3.50091,Downstairs
69,9.848298,3.6616776,6.3548174,3.19703,2.8298583,3.4417222,Downstairs
70,10.120803,3.2642114,6.50419,3.200037,2.7978103,3.6177561,Downstairs
71,10.072421,3.1748261,6.5133452,3.0807245,2.8095014,3.5776122,Downstairs
72,9.658205,3.5900536,6.4311237,2.8172626,2.820672,3.3757787,Downstairs
73,9.321027,3.5894039,6.458088,2.5358343,2.7716236,3.2314303,Downstairs
74,10.309812,3.5084364,6.54908,2.8548145,2.9706209,3.624732,Downstairs
75,10.836281,3.212166,6.6024957,3.1390529,3.1477983,3.6990268,Downstairs
76,11.117896,3.1776638,6.527205,3.1928194,3.5787942,3.399216,Downstairs
77,11.495399,2.968146,6.5968738,3.3912547,3.6670992,3.516044,Downstairs
78,-1.2714201,6.000833,5.292252,6.6327295,4.040618,3.1327085,Upstairs
79,-1.288256,5.9789486,5.323332,6.6394277,4.0262027,3.1227548,Upstairs
80,-1.3434838,5.9526215,5.2120514,6.750646,4.13904,3.0971174,Upstairs
81,-1.2922554,5.9793715,5.3083997,6.639297,4.031366,3.123752,Upstairs
82,-1.2865463,5.987932,5.301138,6.638963,4.040115,3.1264966,Upstairs
83,-1.2738521,6.003414,5.2962146,6.6104617,4.0287237,3.1392953,Upstairs
84,-1.2996421,5.989639,5.230207,6.6941347,4.1208563,3.1169095,Upstairs
85,-1.2767371,6.0113063,5.24059,6.6629634,4.095188,3.1311817,Upstairs
86,-1.2965484,5.989177,5.2603464,6.7197056,4.1363378,3.1056573,Upstairs
87,-1.2823833,6.0062833,5.2361164,6.670575,4.1090984,3.1296048,Upstairs
88,-1.2891238,5.9867516,5.3166165,6.613141,4.0101237,3.131457,Upstairs
89,-1.2713684,6.0113707,5.3781195,6.520875,3.9221766,3.1533973,Upstairs
90,-1.2403629,6.0212007,5.4004893,6.4552608,3.8776193,3.1766312,Upstairs
91,-1.2469728,6.019358,5.4148016,6.4529524,3.8513904,3.176144,Upstairs
92,-1.2669175,6.0099916,5.4193344,6.497145,3.8858793,3.1577177,Upstairs
93,-1.3166854,5.970301,5.2555466,6.66862,4.0816035,3.115983,Upstairs
94,-1.340666,5.9511766,5.233453,6.7345285,4.119771,3.0987132,Upstairs
95,-1.2968985,5.986594,5.288482,6.6407595,4.04987,3.1258008,Upstairs
96,-1.2987788,5.999446,5.191383,6.7071395,4.1572466,3.1219382,Upstairs
97,-1.3012537,6.0024214,5.1835833,6.7137423,4.1648,3.121526,Upstairs
98,-1.2529418,6.000985,5.387037,6.521459,3.906482,3.154596,Upstairs
99,-1.2688545,6.0141044,5.4020414,6.496755,3.8934727,3.160012,Upstairs
100,-1.2659062,6.011256,5.4140844,6.495443,3.8880992,3.1592903,Upstairs
101,-1.2822683,6.0125923,5.393504,6.5123506,3.9081402,3.1509986,Upstairs
102,-1.2615731,6.0148215,5.4051886,6.4878964,3.8830142,3.1645057,Upstairs
103,-1.2422144,6.0085945,5.374663,6.5203133,3.9142227,3.1657925,Upstairs
104,-1.2968622,6.000576,5.2145605,6.701833,4.135889,3.123656,Upstairs
105,-1.2427987,6.0306053,5.3482137,6.4950085,3.9371026,3.172554,Upstairs
106,-1.2409256,6.0163493,5.421179,6.457231,3.8477862,3.1749346,Upstairs
107,-1.2603748,6.0070777,5.4259415,6.4917555,3.876257,3.1592329,Upstairs
108,-1.2948074,5.9763584,5.320808,6.6349564,4.021742,3.1232376,Upstairs
109,-1.3142599,5.966255,5.270074,6.692856,4.0814447,3.1101074,Upstairs
110,-1.2752382,6.0129743,5.2464495,6.65461,4.095335,3.134561,Upstairs
111,-1.2117146,6.059697,5.353499,6.3863363,3.944035,3.2039752,Upstairs
112,-1.2182372,6.0405874,5.3828106,6.420063,3.8850946,3.1927245,Upstairs
