,0,1,Label
0,-4.2866263,8.474676,Ankle Boot
1,8.656415,7.751565,Bag
2,9.828491,3.0552793,Pullover
3,9.625055,4.3818173,Pullover
4,10.498767,4.0795865,Pullover
5,9.03106,13.665504,Shirt
6,-4.4573197,1.8656858,Coat
7,8.765221,13.884422,Shirt
8,-1.4013296,7.6559353,Trouser
9,-1.3403852,6.893632,Trouser
10,8.388643,6.930397,Bag
11,-2.3437607,9.240272,Trouser
12,-2.5970478,4.4111347,Coat
13,-2.560354,3.4300232,Coat
14,-3.5707235,1.0848373,Coat
15,-3.7533875,7.3182955,Ankle Boot
16,11.35643,-1.5630696,Dress
17,8.717606,7.261652,Bag
18,9.07966,13.322072,Shirt
19,11.01283,11.310931,T-shirt
20,11.087058,4.4777746,Pullover
21,11.041644,-1.5729424,Dress
22,11.861907,12.140726,T-shirt
23,3.9821668,9.284962,Sandal
24,11.646048,13.666007,Shirt
25,12.867985,8.5835285,Sneaker
26,8.4834175,7.8009105,Bag
27,8.958954,13.817862,Shirt
28,11.339494,12.719864,T-shirt
29,10.875314,13.768968,Shirt
30,-1.4596264,1.3255112,Coat
31,10.325147,3.2019172,Pullover
32,10.931564,13.152653,Shirt
33,10.605578,11.007438,T-shirt
34,8.69228,5.4758234,Bag
35,3.914192,5.9827204,Sandal
36,-1.811815,7.561792,Trouser
37,9.10549,12.005165,T-shirt
38,10.497689,-2.5772114,Dress
39,11.25198,13.447821,Shirt
40,10.695248,13.360866,Shirt
41,-4.4968576,4.3904567,Ankle Boot
42,-4.013845,7.1551056,Ankle Boot
43,-2.840008,3.2353454,Coat
44,-2.6663816,8.8223505,Trouser
45,9.920022,12.834595,Shirt
46,-4.400671,1.9704031,Coat
47,12.086628,8.083552,Sneaker
48,8.667427,7.0598044,Bag
49,12.506593,9.010397,Sneaker
50,11.314648,3.6947122,Pullover
51,11.101753,3.9963033,Pullover
52,-4.396268,2.2267473,Coat
53,9.663791,14.523529,Shirt
54,11.79856,11.6507435,T-shirt
55,8.3087,7.409882,Bag
56,9.33101,5.9620223,Bag
57,4.590498,5.5789146,Sandal
58,10.9248495,3.3711667,Pullover
59,10.536992,2.198145,Pullover
60,-1.5216659,6.267914,Trouser
61,7.6734333,6.780425,Bag
62,-2.3455338,3.1047564,Coat
63,-1.3652846,1.2686766,Coat
64,9.655498,4.4093447,Pullover
65,8.961847,13.210792,Shirt
66,8.43218,7.4047933,Bag
67,9.604551,4.2500687,Pullover
68,8.794891,12.6772585,Shirt
69,9.19351,-1.7886791,Dress
70,9.636849,4.833899,Pullover
71,11.64539,-3.7463453,Dress
72,9.653336,6.761324,Bag
73,10.837917,3.7271235,Pullover
74,10.951408,-3.666592,Dress
75,12.786856,9.975276,Sneaker
76,13.298821,9.043524,Sneaker
77,8.207565,8.311783,Bag
78,9.847851,-2.5360746,Dress
79,-2.632972,8.267578,Trouser
80,10.849399,-1.6974858,Dress
81,9.995203,2.891687,Pullover
82,-1.4042885,7.18616,Trouser
83,-3.818431,2.2337303,Coat
84,-3.9704783,9.062245,Ankle Boot
85,-4.48421,4.4961886,Ankle Boot
86,11.817953,-3.437598,Dress
87,-4.5582724,1.3446586,Coat
88,-2.6519928,9.135392,Trouser
89,-4.63519,6.1129427,Ankle Boot
90,-4.668175,6.4363227,Ankle Boot
91,10.362447,2.8319592,Pullover
92,9.905362,11.438427,T-shirt
93,-4.570448,6.4983053,Ankle Boot
94,12.334969,8.13246,Sneaker
95,10.900005,12.393429,T-shirt
96,11.0549135,11.036138,T-shirt
97,10.28035,-3.1979718,Dress
98,11.28837,-1.0320284,Dress
99,3.6542394,7.9155393,Sandal
100,4.064472,6.7628117,Sandal
101,8.822317,6.290418,Bag
102,9.7006,-3.1120493,Dress
103,10.037521,-3.2439451,Dress
104,10.818297,12.156227,T-shirt
105,3.6705513,9.889921,Sandal
106,10.593867,-1.7595527,Dress
107,-4.582185,6.403902,Ankle Boot
108,-3.8245158,2.4571717,Coat
109,3.9252217,8.930915,Sandal
110,3.5954592,9.995602,Sandal
111,-3.7097127,6.2037354,Ankle Boot
112,11.362207,12.938917,T-shirt
113,10.012428,3.6445756,Pullover
114,10.399063,3.422858,Pullover
115,9.550429,-2.4228082,Dress
116,-1.7209703,7.123908,Trouser
117,8.787738,12.219663,T-shirt
118,10.844766,11.338393,T-shirt
119,-4.211782,1.9067435,Coat
120,-2.1630292,3.0572133,Coat
121,-2.8596554,3.1788762,Coat
122,-3.290652,8.29327,Trouser
123,9.875125,11.59941,T-shirt
124,9.118825,13.548685,Shirt
125,10.85655,13.627137,Shirt
126,-4.831382,2.063616,Coat
127,8.69074,5.8382154,Bag
128,12.511187,11.507238,T-shirt
129,10.47506,-1.8404588,Dress
130,3.4335296,9.000653,Sandal
131,-3.8851957,0.8377009,Coat
132,-4.6291595,1.7276412,Coat
133,-2.1958485,3.2662697,Coat
134,11.092589,12.318827,T-shirt
135,9.017631,14.355442,Shirt
136,-2.4561257,8.89732,Trouser
137,9.697018,-2.4496489,Dress
138,-4.465345,1.0951487,Coat
139,11.150591,14.250327,Shirt
140,11.312832,12.253286,T-shirt
141,-4.060331,5.360854,Ankle Boot
142,-4.695559,5.5232863,Ankle Boot
143,11.060681,-2.1269982,Dress
144,4.01192,9.897513,Sandal
145,-3.6705296,0.90452003,Coat
146,9.857059,-2.0008428,Dress
147,10.61958,14.773601,Shirt
148,2.97402,9.477615,Sandal
149,8.559214,7.6570415,Bag
150,-3.7961717,9.173522,Ankle Boot
151,11.027294,-1.3913182,Dress
152,3.5008929,9.297304,Sandal
