,0,1,Label
0,0.077452555,9.111547,2
1,-5.779279,13.538131,3
2,-1.8536929,-4.0974264,9
3,11.600886,8.628309,0
4,0.7281225,-2.7136848,1
5,8.596245,3.0430868,7
6,13.368198,11.369409,0
7,-2.0943573,4.710784,6
8,14.054341,10.71687,0
9,-1.2570932,-5.665102,9
10,-2.4262464,5.116822,6
11,0.8793543,10.3484955,2
12,-3.2695205,5.0406284,6
13,3.4552968,15.785404,4
14,13.761466,10.764364,0
15,8.185443,-3.9540198,5
16,8.61567,3.0489907,7
17,4.220902,6.5824504,8
18,3.8758388,14.729173,4
19,1.6450621,-3.127507,1
20,-1.9461634,-3.7962132,9
21,-5.8030477,13.904046,3
22,1.3854343,-3.1233382,1
23,11.642698,8.530667,0
24,10.44691,3.9439516,7
25,10.222341,2.71133,7
26,-0.8597291,-4.457467,9
27,-2.794949,5.045934,6
28,9.940419,3.2261038,7
29,8.2749605,-3.6906133,5
30,-3.6937943,5.216919,6
31,4.084439,6.1786685,8
32,3.5526931,15.355059,4
33,1.9130474,-2.9258893,1
34,-4.5856757,14.02313,3
35,0.80697364,10.2510395,2
36,3.5935483,14.444266,4
37,-4.7603393,14.051786,3
38,6.864229,-1.4846323,5
39,3.4451118,15.287764,4
40,13.644022,9.842855,0
41,3.3433456,6.19044,8
42,7.767629,-2.4738524,5
43,1.6991787,-3.2025633,1
44,-3.0984898,4.073758,6
45,0.9852667,-2.387581,1
46,2.9025476,6.838198,8
47,0.7281386,9.588664,2
48,-3.0309575,4.386701,6
49,-2.4136543,4.917702,6
50,-2.6101518,5.474551,6
51,-5.473896,13.625879,3
52,7.2611694,-3.1453125,5
53,-0.60805815,-5.434323,9
54,1.2075435,-2.5466495,1
55,3.4136255,6.403834,8
56,-5.736342,13.067885,3
57,1.5229038,-2.8486617,1
58,-1.4877018,-4.2090783,9
59,11.728493,8.507994,0
60,-2.0597908,-3.7197354,9
61,-0.9138033,-5.7900395,9
62,3.801656,14.266349,4
63,-5.5104685,13.997559,3
64,-1.8461757,-4.5779667,9
65,0.9718371,10.255948,2
66,3.8720305,14.832588,4
67,13.130396,9.265489,0
68,-6.484868,12.6493845,3
69,-4.6663694,13.495038,3
70,10.441122,3.845156,7
71,8.286566,-3.897729,5
72,13.736264,9.918049,0
73,3.6933439,15.129445,4
74,-3.300394,4.98892,6
75,-4.6837645,13.884667,3
76,10.343575,2.7287695,7
77,12.167008,8.87779,0
78,12.265128,9.019186,0
79,8.419421,-3.845077,5
80,1.831857,5.8975773,8
81,-4.747605,13.730051,3
82,8.032193,3.199427,7
83,3.5426753,15.570283,4
84,7.493976,-2.5918038,5
85,3.3754272,5.973935,8
86,-3.5818708,5.1721945,6
87,1.2875822,-2.350896,1
88,-5.971999,12.6603365,3
89,-1.5397805,-5.650101,9
90,3.5706563,15.722981,4
91,7.906125,-3.905119,5
92,-1.3158516,-4.0912514,9
93,3.6716516,14.996101,4
94,3.5389943,6.636313,8
95,-4.776037,13.632481,3
96,7.8949256,-2.856511,5
97,3.674643,6.277345,8
98,-2.9066803,4.559929,6
99,12.57522,8.346115,0
100,0.8143236,8.710336,2
101,7.192276,-3.7454617,5
102,13.789241,10.243556,0
103,7.8831816,-3.387607,5
104,13.748518,11.412462,0
105,11.9982195,9.2390585,0
106,3.351737,15.116563,4
107,-1.8317854,4.8553286,6
108,-6.5990705,12.845762,3
109,9.308487,2.289221,7
110,-0.0923384,-2.2839386,1
111,-2.7764776,4.7418976,6
112,14.027665,9.800939,0
113,11.846459,9.096031,0
114,-6.2607083,13.584957,3
115,-1.3244483,-5.6477375,9
116,0.5723647,-2.256715,1
117,9.887125,2.51375,7
118,-5.5056634,12.887482,3
119,-5.7955327,14.090112,3
120,9.196051,2.7128267,7
121,-6.3461356,13.194593,3
122,9.874738,3.1598516,7
123,8.2313595,-3.6842403,5
124,13.759694,9.263408,0
125,3.4109473,6.442567,8
126,3.7323701,14.503505,4
127,-1.0909152,-5.823255,9
128,12.865084,10.689859,0
129,4.0278063,14.503511,4
130,-2.6827996,4.357245,6
131,-1.2315378,-5.9599204,9
132,-2.3765554,5.3808165,6
133,1.4055585,-3.0086143,1
134,13.339698,11.63878,0
135,-1.8650541,4.5865464,6
136,-3.2620614,4.603293,6
137,3.4859776,6.4812503,8
138,-0.70176095,8.708919,2
